Start Date,1/1/95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BICLB10Y Index,Official Closing Price,Last Price,Ask Price,Volume,Open Price,High Price,Low Price,Bid Price,,H15T10Y Index,Official Closing Price,Last Price,Ask Price,Volume,Open Price,High Price,Low Price,Bid Price,,SPX Index,Official Closing Price,Last Price,Ask Price,Volume,Open Price,High Price,Low Price,Bid Price,,CT10 Govt,Official Closing Price,Last Price,Ask Price,Volume,Open Price,High Price,Low Price,Bid Price,,USSOC Curncy,Official Closing Price,Last Price,Ask Price,Volume,Open Price,High Price,Low Price,Bid Price,,VIX Index,Official Closing Price,Last Price,Ask Price,Volume,Open Price,High Price,Low Price,Bid Price,,CLA Comdty,Official Closing Price,Last Price,Ask Price,Volume,Open Price,High Price,Low Price,Bid Price,,MOODCBAA Index,Official Closing Price,Last Price,Ask Price,Volume,Open Price,High Price,Low Price,Bid Price
1/13/95,#N/A N/A,136.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/13/95,#N/A N/A,7.69,#N/A N/A,#N/A N/A,7.88,7.88,7.88,#N/A N/A,,1/13/95,#N/A N/A,465.97,#N/A N/A,197854096,461.64,466.43,461.64,#N/A N/A,,1/13/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/13/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/13/95,#N/A N/A,11.1,#N/A N/A,#N/A N/A,11.46,11.86,11.02,#N/A N/A,,1/13/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/13/95,#N/A N/A,9.04,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/16/95,#N/A N/A,136,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/16/95,#N/A N/A,7.69,#N/A N/A,#N/A N/A,7.88,7.88,7.88,#N/A N/A,,1/16/95,#N/A N/A,469.38,#N/A N/A,191076800,465.97,470.39,465.97,#N/A N/A,,1/16/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/16/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/16/95,#N/A N/A,11.14,#N/A N/A,#N/A N/A,11.45,11.53,11.06,#N/A N/A,,1/16/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/16/95,#N/A N/A,9.04,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/17/95,#N/A N/A,136,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/17/95,#N/A N/A,7.7,#N/A N/A,#N/A N/A,7.88,7.88,7.88,#N/A N/A,,1/17/95,#N/A N/A,470.05,#N/A N/A,200605200,469.38,470.15,468.19,#N/A N/A,,1/17/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/17/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/17/95,#N/A N/A,11.79,#N/A N/A,#N/A N/A,12.45,12.48,11.61,#N/A N/A,,1/17/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/17/95,#N/A N/A,9.04,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/18/95,#N/A N/A,133.2,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/18/95,#N/A N/A,7.71,#N/A N/A,#N/A N/A,7.88,7.88,7.88,#N/A N/A,,1/18/95,#N/A N/A,469.72,#N/A N/A,190765696,470.05,470.43,468.03,#N/A N/A,,1/18/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/18/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/18/95,#N/A N/A,11.57,#N/A N/A,#N/A N/A,11.24,11.9,11.21,#N/A N/A,,1/18/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/18/95,#N/A N/A,9.03,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/19/95,#N/A N/A,131.9,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/19/95,#N/A N/A,7.74,#N/A N/A,#N/A N/A,7.88,7.88,7.88,#N/A N/A,,1/19/95,#N/A N/A,466.95,#N/A N/A,173751104,469.72,469.72,466.4,#N/A N/A,,1/19/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/19/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/19/95,#N/A N/A,11.86,#N/A N/A,#N/A N/A,12.08,12.34,11.52,#N/A N/A,,1/19/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/19/95,#N/A N/A,9.06,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/20/95,#N/A N/A,132.3,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/20/95,#N/A N/A,7.82,#N/A N/A,#N/A N/A,7.88,7.88,7.88,#N/A N/A,,1/20/95,#N/A N/A,464.78,#N/A N/A,226986096,466.95,466.99,463.99,#N/A N/A,,1/20/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/20/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/20/95,#N/A N/A,12.15,#N/A N/A,#N/A N/A,12.08,12.48,12,#N/A N/A,,1/20/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/20/95,#N/A N/A,9.13,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/23/95,#N/A N/A,133.6,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/23/95,#N/A N/A,7.83,#N/A N/A,#N/A N/A,7.88,7.88,7.88,#N/A N/A,,1/23/95,#N/A N/A,465.81,#N/A N/A,190390304,464.78,466.23,461.14,#N/A N/A,,1/23/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/23/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/23/95,#N/A N/A,12.79,#N/A N/A,#N/A N/A,13.89,13.89,12.78,#N/A N/A,,1/23/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/23/95,#N/A N/A,9.16,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/24/95,#N/A N/A,131.3,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/24/95,#N/A N/A,7.86,#N/A N/A,#N/A N/A,7.88,7.88,7.88,#N/A N/A,,1/24/95,#N/A N/A,465.86,#N/A N/A,185000192,465.81,466.88,465.47,#N/A N/A,,1/24/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/24/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/24/95,#N/A N/A,11.94,#N/A N/A,#N/A N/A,12.13,12.51,11.84,#N/A N/A,,1/24/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/24/95,#N/A N/A,9.16,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/25/95,#N/A N/A,132.4,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/25/95,#N/A N/A,7.8,#N/A N/A,#N/A N/A,7.88,7.88,7.88,#N/A N/A,,1/25/95,#N/A N/A,467.44,#N/A N/A,214672304,465.86,469.51,464.4,#N/A N/A,,1/25/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/25/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/25/95,#N/A N/A,11.46,#N/A N/A,#N/A N/A,11.94,12.26,11.17,#N/A N/A,,1/25/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/25/95,#N/A N/A,9.12,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/26/95,#N/A N/A,132.2,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/26/95,#N/A N/A,7.76,#N/A N/A,#N/A N/A,7.88,7.88,7.88,#N/A N/A,,1/26/95,#N/A N/A,468.32,#N/A N/A,184837600,467.44,468.62,466.9,#N/A N/A,,1/26/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/26/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/26/95,#N/A N/A,11.25,#N/A N/A,#N/A N/A,10.9,11.52,10.89,#N/A N/A,,1/26/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/26/95,#N/A N/A,9.07,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/27/95,#N/A N/A,135.7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/27/95,#N/A N/A,7.66,#N/A N/A,#N/A N/A,7.88,7.88,7.88,#N/A N/A,,1/27/95,#N/A N/A,470.39,#N/A N/A,218888304,468.32,471.36,468.32,#N/A N/A,,1/27/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/27/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/27/95,#N/A N/A,11.25,#N/A N/A,#N/A N/A,10.77,11.41,10.76,#N/A N/A,,1/27/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/27/95,#N/A N/A,8.97,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/30/95,#N/A N/A,132.2,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/30/95,#N/A N/A,7.65,#N/A N/A,#N/A N/A,7.88,7.88,7.88,#N/A N/A,,1/30/95,#N/A N/A,468.51,#N/A N/A,186142704,470.39,470.52,467.49,#N/A N/A,,1/30/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/30/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/30/95,#N/A N/A,12.26,#N/A N/A,#N/A N/A,11.63,12.67,11.43,#N/A N/A,,1/30/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/30/95,#N/A N/A,8.96,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/31/95,#N/A N/A,134.9,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/31/95,#N/A N/A,7.6,#N/A N/A,#N/A N/A,7.88,7.88,7.88,#N/A N/A,,1/31/95,#N/A N/A,470.42,#N/A N/A,220993904,468.51,471.03,468.18,#N/A N/A,,1/31/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/31/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/31/95,#N/A N/A,11.96,#N/A N/A,#N/A N/A,12.12,12.25,11.77,#N/A N/A,,1/31/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/31/95,#N/A N/A,8.93,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/1/95,#N/A N/A,128.2,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,2/1/95,#N/A N/A,7.66,#N/A N/A,#N/A N/A,7.88,7.88,7.88,#N/A N/A,,2/1/95,#N/A N/A,470.4,#N/A N/A,233471600,470.42,472.75,469.29,#N/A N/A,,2/1/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,2/1/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,2/1/95,#N/A N/A,11.73,#N/A N/A,#N/A N/A,11.74,11.95,11.53,#N/A N/A,,2/1/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,2/1/95,#N/A N/A,8.94,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
